StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,The park was a lake after the rain. - 1,Click to write the question text - 1,Emily and Audrey are two peas in a pod. - 1,Lexie is an encyclopedia. - 1,Nolan's stomach was a bottomless pit. - 1,My pulse is a race car. - 1,The thunder was a mighty lion. - 1,The stormy ocean was a raging bull. - 1,Her tears were a river flowing down her cheeks. - 1,The homework assignment was a breeze. - 1,Deja's dance was a poem. - 1,Harper's eyes are two emeralds. - 1,Sam's cheeks are red apples. - 1,Celia's hair was a lion's mane. - 1,Time is money. - 1,The car was a furnace in the sun. - 1,The kids were monkeys on the jungle gym. - 1,Alex's heart was a rock. - 1,The ballerina was a gazelle. - 1,The road was a ribbon stretching across the desert. - 1,Avery is a mountain of strength. - 1,Life is a dream. - 1,This fog is pea soup. - 1,Ashley is an old flame. - 1,New ideas are food for your brain.. - 1,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""MTurkCode""}"
2/11/18 18:01,2/11/18 18:02,0,174.85.255.66,100,37,1,2/11/18 18:02,R_1dGEXNYwHXAyjbV,,,,,34.80360413,-86.97070313,anonymous,EN,3,5,3,3,6,5,2,3,3,5,3,6,5,2,5,3,6,5,2,3,5,3,2,6,5,14092832
2/11/18 18:01,2/11/18 18:03,0,76.124.137.19,100,87,1,2/11/18 18:03,R_2En8y5K2OwQmjuv,,,,,39.98829651,-75.22080231,anonymous,EN,6,4,6,5,7,5,6,2,3,6,1,5,3,5,7,4,6,4,6,5,2,7,4,6,6,87264140
2/11/18 18:02,2/11/18 18:03,0,223.228.168.131,100,75,1,2/11/18 18:03,R_3k6CPgsy1W8HRP6,,,,,13.08329773,80.28329468,anonymous,EN,5,3,4,6,5,3,3,5,4,7,5,3,2,2,4,4,6,5,4,5,2,3,5,4,6,6457900
2/11/18 18:02,2/11/18 18:03,0,50.38.66.161,100,101,1,2/11/18 18:03,R_3DfOGcAcIDx0EeJ,,,,,44.99099731,-122.7626953,anonymous,EN,6,6,7,6,7,3,2,3,7,7,5,5,5,5,7,6,5,3,2,7,7,7,6,7,6,92265151
2/11/18 18:02,2/11/18 18:03,0,130.76.201.62,100,108,1,2/11/18 18:03,R_4TmTtCcEhvFKSgF,,,,,47.80490112,-122.2854996,anonymous,EN,6,5,7,7,6,5,3,3,5,7,3,4,3,2,7,5,6,2,2,5,6,6,4,4,5,43957424
2/11/18 18:02,2/11/18 18:04,0,70.101.23.106,100,112,1,2/11/18 18:04,R_dprXHluqD3O5inL,,,,,34.38070679,-81.08650208,anonymous,EN,6,6,6,6,7,4,6,5,5,6,2,7,6,6,7,6,6,7,7,6,6,7,4,5,5,44582720
2/11/18 18:01,2/11/18 18:04,0,50.91.181.210,100,153,1,2/11/18 18:04,R_xAGbLgNs82kMBGx,,,,,27.95779419,-82.46219635,anonymous,EN,5,4,7,5,7,3,2,1,5,7,2,3,3,5,7,6,5,3,3,5,6,6,3,5,3,51320609
2/11/18 18:02,2/11/18 18:04,0,24.0.80.81,100,143,1,2/11/18 18:04,R_2wcotdAUoEtMjtS,,,,,39.98719788,-74.16010284,anonymous,EN,6,3,7,6,6,2,5,5,6,7,3,5,5,6,7,3,6,2,3,3,5,5,1,6,7,3384218
2/11/18 18:02,2/11/18 18:04,0,97.118.141.130,100,138,1,2/11/18 18:04,R_6opM1cPEdMbsoF3,,,,,37.28739929,-107.861702,anonymous,EN,6,1,7,7,7,5,3,3,5,7,5,5,7,6,7,7,7,6,6,6,6,7,6,7,6,35167424
2/11/18 18:02,2/11/18 18:04,0,173.216.104.47,100,103,1,2/11/18 18:04,R_3HwyvwnTGkOiW5K,,,,,35.30670166,-93.07119751,anonymous,EN,1,1,6,5,7,3,3,6,5,7,2,4,3,2,7,5,5,4,5,1,3,4,1,5,1,29342372
2/11/18 18:02,2/11/18 18:04,0,142.196.255.46,100,143,1,2/11/18 18:04,R_1d5FklciBaRCJrU,,,,,28.65130615,-81.20659637,anonymous,EN,4,1,7,7,7,4,4,7,7,7,1,7,7,7,7,7,7,7,1,7,7,4,4,4,4,37988240
2/11/18 18:02,2/11/18 18:04,0,76.105.14.4,100,163,1,2/11/18 18:04,R_3dQZ0fCxD4Sr0A1,,,,,38.68499756,-121.0680008,anonymous,EN,4,5,7,6,6,4,3,3,5,6,5,5,5,5,6,5,6,5,4,5,5,7,7,7,7,59044347
2/11/18 18:02,2/11/18 18:04,0,73.60.231.59,100,159,1,2/11/18 18:04,R_2eaH3DQPzPlgln8,,,,,42.85690308,-71.60749817,anonymous,EN,5,6,7,7,7,3,1,1,3,7,1,2,5,2,7,1,7,3,5,2,6,7,6,7,6,89694029
2/11/18 18:03,2/11/18 18:05,0,173.20.80.208,100,76,1,2/11/18 18:05,R_3pshF3WFhC6ICOb,,,,,41.53849792,-90.56130219,anonymous,EN,1,6,7,7,6,5,6,7,7,7,3,4,3,6,7,6,6,7,5,5,3,5,7,6,5,41515127
2/11/18 18:03,2/11/18 18:05,0,104.229.10.241,100,140,1,2/11/18 18:05,R_1N4fiJ86otY7jp1,,,,,43.16850281,-77.68450165,anonymous,EN,6,5,6,6,6,3,3,5,6,6,2,5,6,6,6,2,5,2,3,6,6,6,6,2,5,31384869
2/11/18 18:02,2/11/18 18:05,0,69.9.192.132,100,212,1,2/11/18 18:05,R_1gdKWvnjfjRKNfl,,,,,47.92720032,-97.06719971,anonymous,EN,7,1,7,7,7,1,1,1,7,7,7,7,1,1,7,7,7,1,7,7,7,7,1,7,7,74950964
2/11/18 18:04,2/11/18 18:05,0,75.167.37.255,100,108,1,2/11/18 18:05,R_3lX46VMUfw1opex,,,,,33.63079834,-112.2071991,anonymous,EN,6,2,7,7,6,2,4,6,6,7,2,5,1,5,6,5,6,3,2,6,5,6,5,6,5,22357664
2/11/18 18:02,2/11/18 18:06,0,75.39.5.104,100,230,1,2/11/18 18:06,R_bBgj4rHZMJ91HON,,,,,42.51249695,-83.06430054,anonymous,EN,6,5,7,7,7,5,5,5,5,7,3,5,5,6,7,6,6,3,5,5,5,7,2,7,6,60424731
2/11/18 18:03,2/11/18 18:06,0,24.101.90.131,100,218,1,2/11/18 18:06,R_3kGP1ZEo8T2YXrz,,,,,41.0092926,-80.61830139,anonymous,EN,6,1,7,5,7,2,2,2,6,7,1,2,4,2,7,5,3,2,4,4,4,5,7,6,3,6504487
2/11/18 18:06,2/11/18 18:08,0,70.178.43.29,100,135,1,2/11/18 18:08,R_2pX0QutIVXH8i9q,,,,,35.34269714,-94.37840271,anonymous,EN,3,5,7,6,7,3,3,3,6,7,5,7,7,7,7,5,6,3,5,5,5,6,1,7,6,73239403
2/11/18 18:05,2/11/18 18:09,0,107.175.34.162,100,232,1,2/11/18 18:09,R_1IgS58I1kDPvSzT,,,,,42.88639832,-78.87809753,anonymous,EN,5,4,6,5,3,6,2,4,5,3,6,6,6,7,6,5,6,6,4,6,6,7,4,5,6,30044557
2/11/18 18:09,2/11/18 18:10,0,100.36.161.187,100,88,1,2/11/18 18:10,R_1pLGQqhXN03DpWr,,,,,38.78509521,-77.28659821,anonymous,EN,6,1,7,6,7,5,3,3,5,7,5,5,5,5,7,6,6,6,6,6,6,7,7,7,6,28290566
2/11/18 18:07,2/11/18 18:12,0,73.113.181.67,100,335,1,2/11/18 18:12,R_WrkDbTZ5ncYsRZD,,,,,36.31069946,-82.3809967,anonymous,EN,6,6,7,6,6,5,2,3,3,7,1,3,5,6,7,6,6,2,2,5,5,7,2,7,7,46652027
2/11/18 18:10,2/11/18 18:12,0,24.163.76.197,100,116,1,2/11/18 18:12,R_3EguyBkmNMeSh6I,,,,,36.0355072,-78.8391037,anonymous,EN,1,5,7,5,6,2,1,2,6,7,1,2,2,5,7,5,7,1,3,3,1,2,1,7,3,65216183
2/11/18 18:22,2/11/18 18:23,0,174.110.251.6,100,84,1,2/11/18 18:23,R_1LTC98au8SGy2LX,,,,,34.92730713,-78.90930176,anonymous,EN,6,4,5,5,6,2,6,6,5,6,2,3,4,5,6,6,5,3,5,4,6,5,2,6,5,53754481
2/11/18 18:39,2/11/18 18:41,0,73.177.202.122,100,99,1,2/11/18 18:41,R_2OHHNUxo1lPBUA3,,,,,39.16789246,-78.16719818,anonymous,EN,6,5,7,6,7,6,5,5,6,7,5,6,6,6,7,6,6,6,6,3,6,6,1,5,6,50750220
2/11/18 18:41,2/11/18 18:43,0,99.57.35.40,100,159,1,2/11/18 18:43,R_5j5Ix9edXvgn173,,,,,42.35420227,-87.86509705,anonymous,EN,7,1,7,6,7,5,1,6,7,5,5,6,6,6,7,7,7,7,1,7,6,6,1,6,6,6696480
2/11/18 18:56,2/11/18 18:57,0,63.155.89.69,100,24,1,2/11/18 18:57,R_2q9H95sedIjiubs,,,,,41.51589966,-108.9942017,anonymous,EN,5,7,6,6,6,6,6,6,5,6,6,5,6,7,6,6,6,5,7,6,6,6,4,6,5,76256208
2/11/18 18:56,2/11/18 18:58,0,68.80.85.115,100,112,1,2/11/18 18:58,R_2qkHpEzN3GZti6j,,,,,40.07099915,-75.12509918,anonymous,EN,7,4,7,7,7,3,5,5,6,7,6,6,6,6,7,7,7,5,5,6,5,6,7,7,6,95484122
2/11/18 19:02,2/11/18 19:04,0,185.245.86.117,100,119,1,2/11/18 19:04,R_sMNCTX3zqVIZXUJ,,,,,25.78059387,-80.18260193,anonymous,EN,7,4,2,2,2,4,5,5,5,4,6,6,6,6,3,7,3,6,4,4,3,6,1,2,7,69013373
2/11/18 19:03,2/11/18 19:04,0,68.207.132.94,100,106,1,2/11/18 19:04,R_3G6PdLc0UUpGng1,,,,,32.49949646,-86.3640976,anonymous,EN,3,1,7,5,7,5,2,4,7,7,3,5,7,7,7,7,6,2,1,5,7,7,1,7,7,63916974
2/11/18 19:04,2/11/18 19:06,0,68.203.9.3,100,113,1,2/11/18 19:06,R_2tagWR2dShVwhJJ,,,,,30.45210266,-97.76879883,anonymous,EN,6,6,7,6,7,2,3,5,7,7,3,7,6,7,7,7,7,5,6,3,5,7,2,7,6,4176150
2/11/18 19:04,2/11/18 19:06,0,216.9.29.131,100,126,1,2/11/18 19:06,R_6fAkYspSV4IUU37,,,,,47.5585022,-122.0055008,anonymous,EN,6,5,7,7,7,5,5,5,7,7,5,5,5,6,7,5,6,3,3,3,5,6,3,7,3,89928989
