StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,John was an elephant. - 1,Click to write the question text - 1,Love is a collaboration. - 1,Love is blindness. - 1,Jeremiah is a clock. - 1,Juliet is the sun. - 1,The world is your oyster. - 1,The world is a stage. - 1,Chaos is my friend. - 1,Men are trash. - 1,Maggie's voice was music. - 1,Aria's body is a wonderland. - 1,Jane's kisses are roses. - 1,Frank's bedroom was a pigsty. - 1,Julia is a rockstar. - 1,Life is a dance floor. - 1,My heart is a lonely hunter. - 1,Ana was a wildfire of rage. - 1,Time is a wheel. - 1,Lucia is a delicate orchid. - 1,Josiah is a gentle breeze. - 1,Life is a hurricane. - 1,This pie is heaven. - 1,The classroom was a zoo. - 1,Zachary's home is a prison. - 1,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""MTurkCode""}"
2018-11-01 16:39:29,2018-11-01 16:40:04,0,66.91.245.82,100,34,1,2018-11-01 16:40:04,R_27BEqDdCL71cY0T,,,,,21.3430023193359375,-157.934906005859375,anonymous,EN,2,6,5,1,3,6,2,6,5,2,7,3,7,5,2,7,5,2,6,1,3,7,6,2,5,73452063
2018-11-01 16:39:23,2018-11-01 16:40:08,0,69.203.194.105,100,44,1,2018-11-01 16:40:08,R_3KBGthXEJN9DLbj,,,,,40.8495941162109375,-73.93560028076171875,anonymous,EN,1,1,5,5,1,1,6,6,5,5,6,6,5,6,6,6,6,6,6,5,5,5,6,6,6,9421415
2018-11-01 16:39:52,2018-11-01 16:40:46,0,196.16.109.190,100,53,1,2018-11-01 16:40:47,R_3MxiN8kEtKDyKFw,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,6,5,6,7,5,6,5,6,7,5,6,7,6,5,6,6,5,6,7,6,5,6,6,5,6,98108306
2018-11-01 16:39:40,2018-11-01 16:40:46,0,137.99.129.61,100,66,1,2018-11-01 16:40:47,R_3eqLrQhoNrQnz9x,,,,,41.8079986572265625,-72.25099945068359375,anonymous,EN,1,6,7,5,1,1,7,5,1,6,7,7,2,7,7,3,6,3,6,6,2,6,7,7,7,46116940
2018-11-01 16:39:24,2018-11-01 16:40:47,0,71.45.116.226,100,83,1,2018-11-01 16:40:47,R_2CwTDe3Q6f6AcjS,,,,,33.6327972412109375,-86.64929962158203125,anonymous,EN,1,5,4,1,2,1,3,4,4,4,3,4,4,3,4,4,3,3,4,5,6,5,3,4,4,82601625
2018-11-01 16:39:53,2018-11-01 16:40:58,0,104.168.136.131,100,65,1,2018-11-01 16:40:59,R_3MaEr1Bn9DjNBBF,,,,,47.489105224609375,-122.290802001953125,anonymous,EN,1,3,4,7,5,4,4,5,1,4,3,5,4,3,5,4,3,6,3,4,5,4,5,4,4,81305708
2018-11-01 16:39:40,2018-11-01 16:41:05,0,75.162.196.69,100,84,1,2018-11-01 16:41:05,R_3MDNQ0X3JdduChy,,,,,41.672698974609375,-93.57219696044921875,anonymous,EN,2,7,5,7,6,6,7,7,5,7,6,7,5,7,7,3,6,6,7,6,5,6,7,7,6,81971411
2018-11-01 16:40:49,2018-11-01 16:42:03,0,74.136.136.18,100,73,1,2018-11-01 16:42:04,R_242x9D4TdMkQk2f,,,,,38.01739501953125,-84.4853973388671875,anonymous,EN,2,2,7,6,2,3,6,6,5,6,5,6,5,6,6,6,3,6,5,3,5,6,5,6,6,9497669
