StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Charlie is a chicken. - 1,The brain is a computer. - 1,Austin was a diamond in the rough. - 1,The hospital was a refrigerator. - 1,Their marriage was a rollercoaster. - 1,America is a melting pot. - 1,The alligator's teeth were daggers. - 1,Cedric's heart is a cold iron. - 1,Malcom was a peacock. - 1,My teacher is a dragon. - 1,Tom's eyes were ice. - 1,The detective's face was a statue. - 1,Desmond's words were cotton candy. - 1,Tianna's eyes were fireflies. - 1,Pamela's hair was a river of gold. - 1,Dave is a night owl. - 1,The falling snowflakes are dancers. - 1,The interstate was a parking lot. - 1,Books are the keys to your imagination. - 1,Layla's teddy bear was her best friend. - 1,The peaceful lake was a mirror. - 1,Jacob's angry words were bullets. - 1,Jamal was a pig at dinner. - 1,That coach is an ogre. - 1,Aram's temper was a volcano. - 1,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""MTurkCode""}"
2018-11-01 19:36:21,2018-11-01 19:36:38,0,47.42.79.41,100,16,1,2018-11-01 19:36:38,R_sL6wyDhN6i9dk4N,,,,,32.9492034912109375,-96.441802978515625,anonymous,EN,7,7,5,4,2,2,5,3,6,3,7,7,6,7,1,3,7,7,7,7,7,1,1,2,6,34013456
2018-11-01 19:36:12,2018-11-01 19:36:57,0,198.37.127.79,100,45,1,2018-11-01 19:36:57,R_1Qsa1LRiwSOvyJz,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,2,4,3,2,3,4,2,4,5,2,3,4,5,3,4,2,5,2,4,2,3,5,3,4,3,89958186
2018-11-01 19:36:35,2018-11-01 19:37:02,0,66.91.245.82,100,26,1,2018-11-01 19:37:03,R_3G3Zt5l8AW60dpH,,,,,21.3531951904296875,-157.9268951416015625,anonymous,EN,2,6,3,1,7,3,1,5,2,5,7,2,3,6,3,1,1,7,5,2,5,2,6,5,1,14941939
2018-11-01 19:36:13,2018-11-01 19:37:09,0,157.50.248.201,100,56,1,2018-11-01 19:37:09,R_2CJosST81BDNlC2,,,,,10.80499267578125,78.68560791015625,anonymous,EN,7,6,7,5,6,6,7,6,6,5,7,6,6,7,5,6,7,6,6,7,7,6,6,7,7,82339743
2018-11-01 19:35:52,2018-11-01 19:37:15,0,71.206.8.9,100,82,1,2018-11-01 19:37:15,R_2VCoqrDWzGfW0ul,,,,,39.0496063232421875,-77.12039947509765625,anonymous,EN,7,7,7,7,7,7,7,7,2,2,7,7,2,2,2,7,7,7,7,7,2,7,7,7,2,84301070
2018-11-01 19:35:54,2018-11-01 19:37:18,0,75.185.90.99,100,83,1,2018-11-01 19:37:18,R_1IabU2PjMZUcRxe,,,,,40.1183013916015625,-83.7834014892578125,anonymous,EN,6,7,6,3,6,5,6,6,3,4,2,5,2,3,5,7,3,6,7,6,5,6,5,3,5,54510196
2018-11-01 19:36:10,2018-11-01 19:37:26,0,192.210.226.116,100,76,1,2018-11-01 19:37:27,R_2rqLfdhePeQQHiE,,,,,41.1033935546875,-104.9058990478515625,anonymous,EN,5,4,6,6,5,4,6,5,6,6,5,5,7,5,4,5,5,7,7,6,6,5,5,7,6,38598651
2018-11-01 19:36:35,2018-11-01 19:37:30,0,108.62.54.238,100,55,1,2018-11-01 19:37:31,R_OHmbWapyMUO0rjX,,,,,40.8596954345703125,-74.4026031494140625,anonymous,EN,5,5,6,5,4,5,6,2,1,3,5,6,5,6,7,4,6,5,4,6,6,5,7,5,6,49023702
