StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Love is a battlefield. - 1,A conscience is a compass. - 1,The snow was a blanket covering the ground. - 1,William was a giant. - 1,Fear is a slinking cat. - 1,Life is a journey. - 1,Memory is a crazed person. - 1,This town is an apple. - 1,Meredith was Derek's kryptonite. - 1,Dominic is Superman. - 1,My heart is a stereo. - 1,Nathaniel was a puppet. - 1,Julianna is an angel. - 1,Annie is a gem. - 1,Mateo was a shadow. - 1,Celeste is a rock. - 1,Love is a temple. - 1,Evelyn was a blackbird. - 1,My mind is a fidget spinner. - 1,The sky is a painting tonight. - 1,The sun was an executioner. - 1,Mimi was a cat. - 1,Paul is an island. - 1,George is a walrus. - 1,Emilia was a waterfall. - 1,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""MTurkCode""}"
2018-11-03 11:46:10,2018-11-03 11:47:01,0,97.101.193.204,100,50,1,2018-11-03 11:47:01,R_rjobmaxb89eNbah,,,,,28.3256988525390625,-80.6121978759765625,anonymous,EN,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,4,5,31488493
2018-11-03 11:46:15,2018-11-03 11:47:05,0,107.175.34.164,100,50,1,2018-11-03 11:47:06,R_1l6vEp9jba29bSz,,,,,42.8863983154296875,-78.8780975341796875,anonymous,EN,6,5,5,5,6,6,6,7,6,5,5,5,6,7,6,7,7,6,5,6,5,6,7,6,5,31226620
2018-11-03 11:46:27,2018-11-03 11:47:36,0,65.255.92.147,100,69,1,2018-11-03 11:47:37,R_1cY8lLcdRkh3jAf,,,,,35.11920166015625,-97.64009857177734375,anonymous,EN,2,5,7,5,1,7,1,1,2,3,1,5,5,5,5,5,3,3,2,6,3,5,3,3,2,8936394
2018-11-03 11:46:14,2018-11-03 11:47:37,0,207.118.119.210,100,83,1,2018-11-03 11:47:38,R_1pzK0loGyB0DUWz,,,,,47.6150054931640625,-117.7039947509765625,anonymous,EN,7,7,7,3,2,7,1,1,1,1,4,2,6,6,6,6,7,2,1,6,1,2,7,1,7,35008452
2018-11-03 11:46:13,2018-11-03 11:47:46,0,72.24.110.131,100,92,1,2018-11-03 11:47:46,R_afS6ECDqlbuQapb,,,,,30.3657989501953125,-88.55609893798828125,anonymous,EN,5,3,3,5,2,7,2,2,6,5,3,5,6,5,3,5,3,2,1,3,1,1,1,2,1,61403608
2018-11-03 11:46:39,2018-11-03 11:47:57,0,24.129.96.251,100,77,1,2018-11-03 11:47:58,R_2fByD8zP8IZ6GFC,,,,,30.3509979248046875,-81.506103515625,anonymous,EN,6,1,7,6,1,7,1,1,5,5,1,7,7,6,3,2,1,1,2,3,1,3,6,1,1,95467996
2018-11-03 11:46:39,2018-11-03 11:48:02,0,68.40.38.242,100,83,1,2018-11-03 11:48:03,R_eM7YIcTFfHFbUTn,,,,,42.2196044921875,-83.6045989990234375,anonymous,EN,6,4,7,6,5,7,3,5,6,6,2,6,7,7,6,7,5,3,2,3,2,5,7,7,5,50685910
2018-11-03 11:46:52,2018-11-03 11:48:14,0,206.214.67.92,100,82,1,2018-11-03 11:48:15,R_3e81rIbPJodh0gp,,,,,36.1233978271484375,-115.1428985595703125,anonymous,EN,3,5,3,4,5,2,6,5,7,6,6,5,6,5,7,6,5,4,5,6,7,5,6,6,5,19675360
2018-11-03 11:46:38,2018-11-03 11:48:22,0,24.162.213.59,100,104,1,2018-11-03 11:48:23,R_3nUwfSB3nkcRF15,,,,,31.708892822265625,-106.3292999267578125,anonymous,EN,7,3,5,6,5,6,2,1,6,6,4,7,7,7,7,6,4,2,2,6,2,7,6,7,3,3080326
2018-11-03 11:46:08,2018-11-03 11:48:24,0,71.232.100.12,100,135,1,2018-11-03 11:48:24,R_3KCK7qFDHHSc4En,,,,,42.325897216796875,-71.13410186767578125,anonymous,EN,7,5,7,7,3,7,3,1,3,6,1,4,7,7,2,6,5,1,3,5,2,1,5,1,1,79165548
2018-11-03 11:46:23,2018-11-03 11:48:32,0,24.196.36.252,100,128,1,2018-11-03 11:48:32,R_3r0yIzmFRoDHuwq,,,,,44.37579345703125,-89.8061981201171875,anonymous,EN,2,5,6,7,1,6,1,1,7,7,1,6,7,6,3,7,1,1,5,6,1,1,6,2,2,68279051
2018-11-03 11:46:11,2018-11-03 11:48:40,0,162.226.190.29,100,149,1,2018-11-03 11:48:41,R_yQRWRGD2s4prUu5,,,,,33.8766021728515625,-117.95510101318359375,anonymous,EN,7,4,7,4,2,7,4,1,1,1,1,6,7,7,1,5,4,1,1,5,4,1,1,1,1,64024830
2018-11-03 11:48:01,2018-11-03 11:48:52,0,107.174.250.179,100,50,1,2018-11-03 11:48:52,R_3R8kS3yqm3tXsVv,,,,,42.8863983154296875,-78.8780975341796875,anonymous,EN,4,5,6,5,3,4,5,6,5,4,3,4,5,6,4,5,6,4,4,6,4,5,6,4,3,51125731
2018-11-03 11:46:25,2018-11-03 11:49:16,0,50.204.136.171,100,171,1,2018-11-03 11:49:17,R_1INwocKaHTFMsvD,,,,,38.45489501953125,-122.25640106201171875,anonymous,EN,6,5,6,4,2,7,3,1,4,6,2,5,6,6,5,5,4,3,2,3,3,4,3,3,3,69622964
2018-11-03 11:46:21,2018-11-03 11:49:17,0,73.242.114.75,100,176,1,2018-11-03 11:49:17,R_3oBJjo4yI8N4AP6,,,,,44.873504638671875,-93.33460235595703125,anonymous,EN,5,6,6,2,5,7,1,1,3,1,2,2,5,6,5,6,7,2,6,5,2,3,2,1,1,44471262
2018-11-03 11:48:06,2018-11-03 11:49:26,0,97.126.107.25,100,79,1,2018-11-03 11:49:26,R_2PkgNf9tw0i7315,,,,,47.6343994140625,-122.34220123291015625,anonymous,EN,2,5,6,6,4,7,5,2,5,4,2,6,6,6,3,3,5,2,2,5,2,6,2,3,2,89182297
2018-11-03 11:46:39,2018-11-03 11:49:45,0,208.102.48.151,100,186,1,2018-11-03 11:49:45,R_2XnG5U7zH6yeKJP,,,,,39.0261993408203125,-84.44080352783203125,anonymous,EN,7,6,7,2,5,7,2,1,2,2,3,3,6,6,6,6,7,3,3,7,5,4,6,1,1,64469830
2018-11-03 11:49:53,2018-11-03 11:51:12,0,192.3.124.46,100,78,1,2018-11-03 11:51:12,R_3fv2BCCGiqEnKVo,,,,,42.8863983154296875,-78.8780975341796875,anonymous,EN,6,5,6,5,6,5,6,5,5,5,6,5,6,5,5,6,5,6,6,5,6,5,5,5,6,20935061
